Timestamp,Age,Gender,Employee Status,Education Qualification Father,Education Qualification Mother,Income during School,Education Qualification,HS Sream,Education Loan?,School Extra Activities,School Academics,School Student Type,Enjoyed School?,Bullied in School?,School Favorite Subject,not repeated,Repeated 9th,Repeated 10th,Tuition?,Tuition Class,Dream,Teaching Satisfaction,School Teachers Caring,Bad Teacher,Regular Access to,School Sleeping Hours,Sc-Illness,Stressful School,Same Stream for Bachalors?,Course Choice Decision,College Personality Change,College Attenance,College Academic,Travel Time to college,College Sleep Change,Study Time Prefered during College,College Life,College Teaching Quality,Extra Activities Participation Change,College Teachers Accessible,College Confidence,College Social Life,College BedTime,Same Stream for Masters?,University Attenance,University Personality Change,Univ-Trav-Dist,University Extra Activities Participation Change,University Sleep time Change,University Life,University Teaching Quality,University Teachers Accessible,University Confience Level,Curent Education System Satisfaction,Change Education System?,Change at what Level?,What Kind Of Change?,Eductaion Provide Enough Knowledge?,Successfull?
03-09-2021 11:50,21,Male,Student (Unemployed),Secondary education or high school,Secondary education or high school,"1,00,000-5,00,000",Master's degree,Science,No,"Cultural,Clubs",Good,"Assertive, Cooperative, Hard Working",Yes,Yes,"Science(Biology,Chemistry,Physics), Mathematics, Social Science(Geography,History), Language Studies(English/Hindi/Konkani/French/Portuguese), Computer Studies, P.E/PT",not repeated,not repeated,not repeated,Yes,5th-7th,Doctor,4,5,There were teachers but it did not affect my studies,"Laptop/Desktop, Own Mobile phone, Internet",5-8 hours,Yes,3,Same,Parents Choice,Positive,100%-75%,5,less than 10mins,No change,Early morning,Easy and Manageable,3,Increased,Most of the time,4,4,11:00:00 AM,Same,75%-50%,No Change,Long distance travelling,Decreased,Less sleep,Difficult but Manageable,1,Rarely,2,1,Yes,Post Graduates,"Offer more choices in the form of electives to students at school level, Update Curriculum to Industry Standards in professional/Technical College level courses, Up to date Syllabus in schools with newer and relevant information",Maybe,Yes
03-09-2021 11:51,24,Male,Student (Unemployed),Vocational qualification,Primary education,"1,00,000-5,00,000",Master's degree,Vocational,Yes,"Sports,Cultural,Clubs,NSS/NCC/Scouts/etc",Excellent,"Studious, Hard Working, Quiet",Yes,No,"Mathematics, Language Studies(English/Hindi/Konkani/French/Portuguese), Computer Studies, P.E/PT",not repeated,not repeated,not repeated,No,Not Attended,Cricket Umpire,4,4,There were teachers but it did not affect my studies,Laptop/Desktop,5-8 hours,No,2,Changed,My choice based on my own interests,Positive,100%-75%,5,30 mins to 1 hour,No change,Early morning,Easy and Manageable,2,Increased,Sometimes,5,5,11:30:00 PM,Changed,100%-75%,Negative,Hostelite on campus,Decreased,No change,Easy but Hectic,1,Rarely,3,1,Yes,"School, High School, College, Under Graduates, Post Graduates, All levels",Basically all changes (1-7 options) needs to be done. ,No,Yes
03-09-2021 11:52,23,Female,Student (Unemployed),Vocational qualification,Higher Secondary,"50,000-1,00,000",Bachelor's degree,Science,No,"Cultural,NSS/NCC/Scouts/etc",Good,Quiet,Yes,No,"Science(Biology,Chemistry,Physics), Mathematics, Social Science(Geography,History), Language Studies(English/Hindi/Konkani/French/Portuguese)",not repeated,not repeated,not repeated,Yes,11th-12th,Doctor,3,4,No such teachers,Own Mobile phone,more than 8 hours,No,1,Same,My choice based on my own interests,Negative,75%-50%,3,30 mins to 1 hour,Less sleep,"Early morning, Late night",Difficult but Manageable,3,Decreased,Sometimes,2,3,12:30:00 AM,Same,75%-50%,Negative,Long distance travelling,Decreased,Less sleep,Difficult and hectic,2,Rarely,1,2,Yes,High School,"Offer more choices in the form of electives to students at school level, Implementing more hands on/practical learning methods over rote learning, Encouraging students to participate in extra curriculars and sports",No,No
03-09-2021 11:54,22,Male,Student (Unemployed),Higher Secondary,Bachelor's degree,"upto 30,000",Master's degree,Commerce,Yes,Sports,Average,Studious,Yes,No,Computer Studies,not repeated,not repeated,not repeated,No,Not Attended,Police,4,5,No such teachers,Own Mobile phone,5-8 hours,No,4,Same,My choice based on my own interests,Positive,100%-75%,5,30 mins to 1 hour,Less sleep,Evening,Easy but Hectic,3,Remained same,Most of the time,5,4,12:30:00 AM,Same,below 50%,Positive,Long distance travelling,Decreased,Less sleep,Difficult and hectic,3,Sometimes,2,3,Yes,"School, High School","Offer more choices in the form of electives to students at school level, Update Curriculum to Industry Standards in professional/Technical College level courses, Change the way students are being Tested/Evaluated",No,No
03-09-2021 11:56,23,Male,Student (Unemployed),Bachelor's degree,Bachelor's degree,"1,00,000-5,00,000",Master's degree,Science,No,"Cultural,Clubs,NSS/NCC/Scouts/etc",Good,"Studious, Assertive, Cooperative, Hard Working",Yes,No,"Science(Biology,Chemistry,Physics), Mathematics, Social Science(Geography,History)",not repeated,not repeated,not repeated,Yes,"8th-10th, 11th-12th",Doctor,3,4,There were teachers but it did not affect my studies,"Laptop/Desktop, Internet, Library",5-8 hours,No,2,Same,My choice based on my own interests,Negative,100%-75%,5,more than 1 hour,No change,"Evening, Late night",Easy but Hectic,4,Decreased,Most of the time,4,2,12:00:00 AM,Same,100%-75%,No Change,Short distance travelling,Decreased,No change,Difficult and hectic,3,Sometimes,4,4,No,No,Up to date Syllabus in schools with newer and relevant information,Yes,Yes
03-09-2021 11:59,21,Male,Student (Unemployed),Higher Secondary,Bachelor's degree,"50,000-1,00,000",Bachelor's degree,Commerce,Yes,NSS/NCC/Scouts/etc,Above Average,Hard Working,No,No,"Language Studies(English/Hindi/Konkani/French/Portuguese), P.E/PT",not repeated,not repeated,not repeated,Yes,8th-10th,Astronaut,3,4,Yes It affected my studies negatively,Own Mobile phone,5-8 hours,No,3,Changed,Peer/Societal Pressure,No Change,75%-50%,4,30 mins to 1 hour,No change,Early morning,Easy but Hectic,4,Remained same,Sometimes,3,2,11:00:00 AM,Changed,75%-50%,No Change,Short distance travelling,Remained same,No change,Easy but Hectic,3,Sometimes,2,2,Yes,School,"Offer more choices in the form of electives to students at school level, Integrating the use of internet and encouraging self learning and research, Implementing more hands on/practical learning methods over rote learning",No,No
03-09-2021 12:02,22,Male,Student (Unemployed),Bachelor's degree,Master's degree,"1,00,000-5,00,000",Bachelor's degree,Science,No,NSS/NCC/Scouts/etc,Above Average,"Studious, Hard Working, Quiet",Yes,Yes,"Science(Biology,Chemistry,Physics), Computer Studies",not repeated,not repeated,not repeated,Yes,11th-12th,Don't know,3,3,There were teachers but it did not affect my studies,Laptop/Desktop,more than 8 hours,Yes,4,Same,My choice based on my own interests,Positive,100%-75%,3,less 30 mins,No change,Evening,Difficult but Manageable,3,Decreased,Most of the time,3,2,12:00:00 AM,Same,100%-75%,Positive,Long distance travelling,Decreased,Less sleep,Difficult and hectic,1,Most of the time,3,1,Yes,"School, High School, College, Under Graduates, Post Graduates","Offer more choices in the form of electives to students at school level, Implementing more hands on/practical learning methods over rote learning, Change the way students are being Tested/Evaluated",No,No
03-09-2021 12:05,18,Female,Student (Unemployed),Bachelor's degree,Doctorate or higher,"above 5,00,000",Higher Secondary,Arts,No,Sports,Good,Cooperative,Yes,No,Language Studies(English/Hindi/Konkani/French/Portuguese),not repeated,not repeated,not repeated,Yes,"8th-10th, 11th-12th",Journalist ,4,5,There were teachers but it did not affect my studies,"Own Mobile phone, Internet",5-8 hours,Yes,3,Same,My choice based on my own interests,No Change,75%-50%,3,less 30 mins,Less sleep,Late night,Difficult but Manageable,4,Remained same,Most of the time,3,3,11:00:00 PM,Same,75%-50%,No Change,Short distance travelling,Remained same,No change,Difficult but Manageable,4,Most of the time,3,4,Yes,High School,"Implementing more hands on/practical learning methods over rote learning, Change the way students are being Tested/Evaluated",Yes,Somewhat
03-09-2021 12:06,22,Female,Student (Employed),Bachelor's degree,Bachelor's degree,"50,000-1,00,000",Master's degree,Science,No,"Cultural,NSS/NCC/Scouts/etc",Above Average,"Studious, Cooperative, Quiet",Yes,No,"Science(Biology,Chemistry,Physics), Social Science(Geography,History), Language Studies(English/Hindi/Konkani/French/Portuguese), Computer Studies",not repeated,not repeated,not repeated,No,Not Attended,Researcher,3,3,There were teachers but it did not affect my studies,"Laptop/Desktop, Own Mobile phone, Internet, Library",5-8 hours,No,3,Same,My choice based on my own interests,Positive,100%-75%,4,30 mins to 1 hour,No change,Evening,Easy but Hectic,4,Decreased,Most of the time,4,4,12:00:00 AM,Same,100%-75%,Negative,Short distance travelling,Decreased,Less sleep,Difficult and hectic,3,Sometimes,3,3,Yes,"High School, Post Graduates","Offer more choices in the form of electives to students at school level, Up to date Syllabus in schools with newer and relevant information, Implementing more hands on/practical learning methods over rote learning",Maybe,Somewhat
03-09-2021 12:08,23,Male,Employed,Bachelor's degree,Bachelor's degree,"1,00,000-5,00,000",Bachelor's degree,Science,No,"Sports,Cultural, NSS/NCC/Scouts/etc",Average,"Studious, Mischevous, Distracting, Talkative, Assertive, Cooperative, Hard Working, Quiet",Yes,No,"Science(Biology,Chemistry,Physics), Mathematics, P.E/PT",not repeated,not repeated,not repeated,Yes,11th-12th,Engineer,5,5,Yes It affected my studies negatively,Library,5-8 hours,No,2,Same,My choice based on my own interests,Negative,100%-75%,3,30 mins to 1 hour,More sleep,Late night,Difficult but Manageable,1,Increased,Sometimes,5,2,12:00:00 AM,Same,100%-75%,No Change,Long distance travelling,Remained same,No change,Easy and Manageable,3,Most of the time,3,1,Yes,"High School, College, Under Graduates, Post Graduates","Offer more choices in the form of electives to students at school level, Update Curriculum to Industry Standards in professional/Technical College level courses, Implementing more hands on/practical learning methods over rote learning",No,Somewhat
03-09-2021 12:10,23,Female,Student (Unemployed),Bachelor's degree,Bachelor's degree,"30,00 to 50,000",Bachelor's degree,Science,No,"Sports,Cultural",Good,Studious,Yes,No,"Social Science(Geography,History), P.E/PT",not repeated,not repeated,not repeated,Yes,11th-12th,Pharmacist,4,5,There were teachers but it did not affect my studies,Library,5-8 hours,No,3,Same,My choice based on my own interests,Positive,100%-75%,3,30 mins to 1 hour,Less sleep,"Evening, Late night",Difficult and hectic,3,Decreased,Sometimes,3,2,12:30:00 AM,Same,100%-75%,No Change,Short distance travelling,Decreased,Less sleep,Difficult and hectic,3,Sometimes,3,3,Yes,"College, Under Graduates","Implementing more hands on/practical learning methods over rote learning, Encouraging students to participate in extra curriculars and sports",No,Somewhat
03-09-2021 12:11,21,Male,Student (Unemployed),Higher Secondary,Bachelor's degree,"above 5,00,000",Master's degree,Commerce,No,Sports,Average,"Mischevous, Talkative",Yes,No,Computer Studies,not repeated,not repeated,not repeated,Yes,11th-12th,Doctor,5,5,There were teachers but it did not affect my studies,Laptop/Desktop,5-8 hours,No,1,Same,My choice based on my own interests,Positive,100%-75%,2,less than 10mins,No change,"Evening, Late night",Easy and Manageable,5,Decreased,Rarely,2,4,01:30:00 AM,Same,75%-50%,Positive,Short distance travelling,Decreased,No change,Easy and Manageable,4,Rarely,3,3,Yes,"School, High School","Offer more choices in the form of electives to students at school level, Change the way students are being Tested/Evaluated, Encouraging students to participate in extra curriculars and sports",Yes,Somewhat
03-09-2021 12:12,22,Male,Student (Unemployed),Secondary education or high school,Secondary education or high school,"30,00 to 50,000",Bachelor's degree,Science,No,NSS/NCC/Scouts/etc,Good,Quiet,Yes,No,Computer Studies,not repeated,not repeated,not repeated,No,Not Attended,Engineer,4,4,No such teachers,Library,3-5 hours,No,4,Same,My choice based on my own interests,No Change,100%-75%,4,more than 1 hour,Less sleep,Late night,Difficult but Manageable,3,Decreased,Most of the time,4,3,12:00:00 AM,Same,75%-50%,No Change,Long distance travelling,Decreased,Less sleep,Difficult and hectic,3,Sometimes,3,3,Yes,"School, Under Graduates","Offer more choices in the form of electives to students at school level, Update Curriculum to Industry Standards in professional/Technical College level courses, Implementing more hands on/practical learning methods over rote learning",Maybe,Somewhat
03-09-2021 12:15,22,Male,Student (Unemployed),Bachelor's degree,Bachelor's degree,"upto 30,000",Master's degree,Science,No,Sports,Average,Quiet,No,Yes,"Mathematics, P.E/PT",not repeated,not repeated,not repeated,No,Not Attended,Criminology. ,2,2,Yes It affected my studies negatively,"Laptop/Desktop, Own Mobile phone, Internet",5-8 hours,No,5,Changed,Parents Choice,Positive,100%-75%,3,more than 1 hour,No change,"Early morning, Late night",Difficult but Manageable,4,Decreased,Sometimes,5,1,11:00:00 PM,Same,100%-75%,Positive,Long distance travelling,Remained same,No change,Difficult but Manageable,3,Sometimes,4,1,Yes,"High School, College, Under Graduates, Post Graduates","Up to date Syllabus in schools with newer and relevant information, Implementing more hands on/practical learning methods over rote learning, Encouraging students to participate in extra curriculars and sports",No,No
03-09-2021 12:16,23,Male,Student (Unemployed),Secondary education or high school,Primary education,"30,00 to 50,000",Bachelor's degree,Science,Yes,Sports,Average,Talkative,Yes,No,"Science(Biology,Chemistry,Physics), Computer Studies, P.E/PT",not repeated,not repeated,not repeated,No,Not Attended,Police,4,5,Yes It affected my studies negatively,"Laptop/Desktop, Own Mobile phone",3-5 hours,No,3,Same,My choice based on my own interests,Positive,100%-75%,4,30 mins to 1 hour,Less sleep,Evening,Easy and Manageable,4,Remained same,Most of the time,4,5,11:00:00 PM,Same,100%-75%,Positive,Long distance travelling,Remained same,Less sleep,Easy and Manageable,5,Most of the time,4,4,Yes,School,Offer more choices in the form of electives to students at school level,No,Somewhat
03-09-2021 12:17,21,Male,Student (Employed),Higher Secondary,Secondary education or high school,"1,00,000-5,00,000",Bachelor's degree,Science,No,"Sports,Theater arts",Above Average,"Mischevous, Distracting, Quiet",No,Yes,"Science(Biology,Chemistry,Physics), Mathematics, Computer Studies, Sex ed",not repeated,not repeated,not repeated,No,Not Attended,Sports adventurer,2,4,There were teachers but it did not affect my studies,"Laptop/Desktop, Own Mobile phone, Internet, Library",5-8 hours,No,4,Same,My choice based on my own interests,Positive,100%-75%,5,less than 10mins,Less sleep,Late night,Difficult and hectic,2,Decreased,Always,2,1,01:45:00 AM,Same,100%-75%,Negative,Remote/Distance Learning,Decreased,Less sleep,Difficult and hectic,1,Sometimes,1,1,Yes,"College, Under Graduates, Post Graduates","Change the way students are being Tested/Evaluated, Encouraging students to participate in extra curriculars and sports, I'm no professional but we need to be taught by teachers who give a damn about teaching and not just making students do all of it by themselves",No,No
03-09-2021 12:17,23,Male,Student (Unemployed),Bachelor's degree,Bachelor's degree,"upto 30,000",Master's degree,Commerce,Yes,"Sports,NSS/NCC/Scouts/etc",Average,"Distracting, Cooperative, Quiet",Yes,No,"Mathematics, Language Studies(English/Hindi/Konkani/French/Portuguese), P.E/PT",not repeated,not repeated,not repeated,Yes,11th-12th,:),4,4,No such teachers,"Laptop/Desktop, Own Mobile phone, Internet",5-8 hours,No,1,Changed,My choice based on my own interests,Positive,100%-75%,3,less than 10mins,Less sleep,"Early morning, Evening, Late night",Difficult but Manageable,4,Increased,Most of the time,4,4,02:00:00 AM,Same,75%-50%,No Change,Long distance travelling,Remained same,Less sleep,Difficult and hectic,3,Sometimes,4,3,Yes,"School, High School, College, Under Graduates, Post Graduates","Update Curriculum to Industry Standards in professional/Technical College level courses, Up to date Syllabus in schools with newer and relevant information, Encouraging students to participate in extra curriculars and sports",Maybe,No
03-09-2021 12:19,23,Male,Student (Employed),Bachelor's degree,Bachelor's degree,"above 5,00,000",Master's degree,Science,No,Clubs,Good,"Studious, Cooperative, Quiet",Yes,No,"Mathematics, Social Science(Geography,History), Computer Studies",not repeated,not repeated,not repeated,Yes,8th-10th,UI UX Designer,5,5,There were teachers but it did not affect my studies,"Laptop/Desktop, Internet, Library",5-8 hours,Yes,3,Same,My choice based on my own interests,Positive,100%-75%,5,less 30 mins,No change,"Evening, Late night",Difficult but Manageable,5,Increased,Always,5,5,01:00:00 AM,Same,100%-75%,Positive,Hostelite on campus,Increased,No change,Difficult but Manageable,5,Always,5,4,Yes,"High School, College","Offer more choices in the form of electives to students at school level, Update Curriculum to Industry Standards in professional/Technical College level courses, Change the way students are being Tested/Evaluated",No,Somewhat
03-09-2021 12:19,23,Male,Student (Employed),Bachelor's degree,Bachelor's degree,"above 5,00,000",Master's degree,Science,No,Clubs,Good,"Studious, Cooperative, Quiet",Yes,No,"Mathematics, Social Science(Geography,History), Computer Studies",not repeated,not repeated,not repeated,Yes,8th-10th,UI UX Designer,5,5,There were teachers but it did not affect my studies,"Laptop/Desktop, Internet, Library",5-8 hours,Yes,3,Same,My choice based on my own interests,Positive,100%-75%,5,less 30 mins,No change,"Evening, Late night",Difficult but Manageable,5,Increased,Always,5,5,01:00:00 AM,Same,100%-75%,Positive,Hostelite on campus,Increased,No change,Difficult but Manageable,5,Always,5,4,Yes,"High School, College","Offer more choices in the form of electives to students at school level, Update Curriculum to Industry Standards in professional/Technical College level courses, Change the way students are being Tested/Evaluated",No,Somewhat
03-09-2021 12:21,22,Male,Employed,No formal education,No formal education,"upto 30,000",Bachelor's degree,Commerce,Yes,Sports,Average,Mischevous,Yes,No,P.E/PT,not repeated,not repeated,not repeated,No,"5th-7th, 8th-10th",Football player ,1,1,There were teachers but it did not affect my studies,Library,5-8 hours,No,5,Same,My choice based on my own interests,Positive,75%-50%,2,more than 1 hour,No change,Late night,Easy and Manageable,1,Remained same,Rarely,5,3,,,,,,,,,,,,1,Yes,"School, High School","Update Curriculum to Industry Standards in professional/Technical College level courses, Implementing more hands on/practical learning methods over rote learning, Change the way students are being Tested/Evaluated",Maybe,No
03-09-2021 12:22,18,Male,Student (Unemployed),Secondary education or high school,Primary education,"30,00 to 50,000",Higher Secondary,Science,No,"Sports,Cultural,NSS/NCC/Scouts/etc",Good,"Studious, Cooperative, Hard Working",Yes,No,"Science(Biology,Chemistry,Physics), Language Studies(English/Hindi/Konkani/French/Portuguese), Computer Studies, P.E/PT",not repeated,not repeated,not repeated,Yes,10th only,Engineer,5,5,No such teachers,"Own Mobile phone, Internet",3-5 hours,No,2,Changed,My choice based on my own interests,Positive,100%-75%,5,less 30 mins,No change,"Early morning, Evening, Late night",Easy and Manageable,3,Increased,Always,5,5,10:59:00 AM,Changed,100%-75%,Positive,Long distance travelling,Increased,No change,Easy and Manageable,5,Sometimes,5,1,Yes,"School, High School, College, Under Graduates, Post Graduates","Implementing more hands on/practical learning methods over rote learning, Change the way students are being Tested/Evaluated, Bring the subject of business and Indian stock market and forex market ",No,No
